"Source";"Target";"Weight"
54;74;0.0654999845861
54;539;0.0179882443963
54;756;0.0187332119396
55;62;0.4064727470316
55;66;0.5690345235706
55;539;0.0223182397693
55;578;0.1009602801591
55;579;0.283804881223
56;76;0.4168503651244
56;515;0.0290547227376
56;536;0.0459872987845
56;548;0.1105841889771
57;68;0.1238413182544
57;522;0.0404360763911
57;580;0.0558851471589
57;755;0.3624353425753
58;110;0.5580617672687
58;530;0.0454237683451
58;756;0.0205354521506
59;69;0.0267498174994
59;581;0.0397496951855
59;582;0.0355720000197
59;583;0.0436286011229
60;519;0.0275872700793
60;534;0.0202291778246
60;561;0.0396109718801
60;574;0.1340928708835
61;62;0.3310704630359
61;514;0.012255872121
61;522;0.0901722814348
61;584;0.0516712564255
62;66;0.4636351530017
62;71;0.4119410799973
62;102;0.0257158502064
62;569;0.160563963843
62;579;0.4806084763003
63;84;0.031946085455
63;539;0.0119559314573
63;561;0.0192120418753
63;585;0.3865299651535
63;585;0.3865299651535
64;73;0.472678901257
64;511;0.0424194250127
64;586;0.0692350119651
64;587;0.0533718459557
64;588;0.1007346315424
64;589;0.4331605446831
65;86;0.2481678713986
65;92;0.2337594563528
65;546;0.0513466823562
65;554;0.0511442922122
65;590;0.0339509462606
65;591;0.1793375162641
66;75;0.4777777565478
66;77;0.513429518477
66;78;0.4315476117014
66;83;0.3618649372307
66;521;0.0476548324249
66;561;0.0258923569308
67;88;0.2597980088933
67;534;0.021311818956
67;539;0.0127135739836
68;513;0.0401914590632
68;534;0.0136137775447
68;536;0.0375298116225
69;79;0.0369791733798
69;80;0.0320495946687
69;81;0.0049392885505
69;581;0.0158372224395
70;511;0.03759363449
70;520;0.1198742042591
70;548;0.043038308454
71;511;0.0702630210669
71;532;0.0709672748028
71;556;0.0227321147715
72;82;0.213014172848
72;518;0.08358821406
72;519;0.0623751943884
72;549;0.3420958253879
72;561;0.0677251916954
73;85;0.2291935132524
73;95;0.003036472378
73;522;0.085492906322
73;592;0.1699694736943
74;513;0.0178812954806
75;77;0.4090751224303
75;87;0.5026900967614
75;89;0.1573188059774
75;539;0.0228057681602
76;98;0.5030896954076
76;534;0.0732164606862
76;561;0.0292018930257
76;756;0.0352396902505
77;87;0.4018800234104
77;516;0.0352546572327
77;531;0.0334408662564
78;90;0.4178211001441
78;90;0.4178211001441
78;518;0.0291764648788
