"Source";"Target";"Weight"
23;587;0.1052352943305
23;615;0.1049567290969
24;44;0.4270395070517
24;13;0.4221034849127
24;242;0.3621044186565
24;540;0.3284981973455
25;626;0.1261510733818
25;512;0.1151497191098
25;142;0.1076358125391
25;664;0.1034403976072
26;552;0.2920207436718
26;533;0.2237407543165
26;8;0.1837849269656
26;615;0.1411304591598
27;55;0.1083257827645
27;66;0.0875395494711
27;420;0.0784268563815
27;525;0.0777253752622
28;45;0.1833415700057
28;576;0.1758698081806
28;386;0.1373806207649
28;50;0.1349814891678
29;22;0.4227115591496
29;31;0.2277268813585
29;57;0.1995375516573
29;755;0.1718847487236
30;559;0.3950228365914
30;560;0.2761251963724
30;41;0.2613071812277
30;278;0.136288787388
31;47;0.587515110893
31;571;0.5691926242937
31;22;0.5448982117968
31;57;0.3846304943485
32;381;0.2014778535623
32;409;0.1960322645591
32;77;0.1874338310469
32;351;0.1796238409672
33;49;0.3267552986495
33;59;0.2753891049697
33;242;0.2434860555982
33;44;0.2382917011426
34;652;0.2173663752018
34;75;0.1843533453333
34;110;0.1722940536496
34;239;0.1401056323422
35;564;0.5375077284157
35;51;0.3873827346998
35;223;0.3660861681724
35;52;0.3569769472671
36;615;0.219299402962
36;311;0.1473357607157
36;614;0.1460292288509
36;402;0.1422481542697
37;335;0.3423154917565
37;62;0.3182833227888
37;115;0.2863196693793
37;56;0.2806077862296
38;691;0.2254227228771
38;712;0.2070540069311
38;669;0.1590149715305
38;552;0.1557507860177
39;286;0.3436592830149
39;469;0.3093142331004
39;256;0.2965630628175
39;331;0.2669501045053
40;53;0.4337614786795
40;544;0.2790477116785
40;22;0.2614832495894
40;47;0.2232829060925
41;560;0.536402398374
41;559;0.2942850973614
41;30;0.2613071812277
41;582;0.1771726891502
42;541;0.665944297587
42;14;0.4126081498536
42;612;0.2475395926753
42;673;0.1496336271254
43;567;0.558325023851
43;48;0.3966949832411
43;115;0.3047563809675
43;88;0.2858523682259
44;13;0.6550494734119
44;540;0.5013399678001
44;242;0.4795578850263
44;24;0.4270395070517
45;386;0.197426808195
45;28;0.1833415700057
45;532;0.180487126588
45;92;0.1591717693716
46;335;0.2970262759065
46;37;0.2221098776634
46;56;0.2189080864469
